qubits,ideal,noisy
4,"[0.0001,0.0001,0.0001,0.0001,0.5,0.5,0.5,0.5]","[0.0001,0.0001,0.0001,0.0001,0.5,0.5,0.5,0.5]"
4,"[0.0001,0.0001,0.0001,0.0001,0.5,0.5,0.5,0.5]","[0.0001,0.0001,0.0001,0.0001,0.61538464,0.46153846,0.53846157,0.46153846]"
4,"[0.0001,0.0001,0.0001,0.0001,1.0,0.0001,0.5,0.0001]","[0.0001,0.0001,0.0001,0.0001,0.8888889,0.44444445,0.44444445,0.44444445]"
4,"[0.0001,0.0001,0.0001,0.0001,0.46666667,0.46666667,0.53333336,0.46666667]","[0.0001,0.0001,0.0001,0.0001,0.5833333,0.41666666,0.6666667,0.5833333]"
4,"[0.0001,0.0001,0.0001,0.0001,0.5,0.5,0.5,0.0001]","[0.0001,0.0001,0.0001,0.0001,0.46666667,0.53333336,0.53333336,0.46666667]"
4,"[0.0001,0.0001,0.0001,0.0001,0.53333336,0.46666667,0.53333336,0.53333336]","[0.0001,0.0001,0.0001,0.0001,0.61538464,0.61538464,0.53846157,0.46153846]"
5,"[0.0001,0.0001,0.0001,0.5,0.5,0.5,0.5,0.5]","[0.0001,0.0001,0.0001,0.5,0.5,0.5,0.5,0.5]"
5,"[0.0001,0.0001,0.0001,0.0001,0.5,0.0001,0.0001,0.0001]","[0.0001,0.0001,0.0001,0.21428572,0.5,0.2857143,0.21428572,0.42857143]"
5,"[0.0001,0.0001,0.0001,0.48387095,0.48387095,0.516129,0.48387095,0.48387095]","[0.0001,0.0001,0.0001,0.53333336,0.53333336,0.5,0.53333336,0.53333336]"
5,"[0.0001,0.0001,0.0001,0.5,0.0001,0.0001,0.0001,0.0001]","[0.0001,0.0001,0.0001,0.53333336,0.33333334,0.26666668,0.26666668,0.33333334]"
5,"[0.0001,0.0001,0.0001,0.0001,0.5,0.5,1.0,0.5]","[0.0001,0.0001,0.0001,0.44827586,0.51724136,0.51724136,0.55172414,0.4827586]"
5,"[0.0001,0.0001,0.0001,0.5,0.5,0.5,0.5,0.5]","[0.0001,0.0001,0.0001,0.53333336,0.53333336,0.5,0.53333336,0.5]"
5,"[0.0001,0.0001,0.0001,0.5,0.5,0.5,0.5,0.25]","[0.0001,0.0001,0.0001,0.54545456,0.5,0.5,0.5,0.72727275]"
5,"[0.0001,0.0001,0.0001,0.47826087,0.3043478,0.3478261,0.47826087,0.5217391]","[0.0001,0.0001,0.0001,0.5,0.5,0.61538464,0.46153846,0.46153846]"
5,"[0.0001,0.0001,0.0001,0.0001,0.0001,0.5,0.0001,0.5]","[0.0001,0.0001,0.0001,0.375,0.3125,0.625,0.3125,0.5625]"
5,"[0.0001,0.0001,0.0001,0.5,0.53846157,0.46153846,0.5769231,0.3846154]","[0.0001,0.0001,0.0001,0.5,0.45833334,0.5,0.5,0.6666667]"
5,"[0.0001,0.0001,0.0001,0.0001,0.0001,0.5,1.0,0.5]","[0.0001,0.0001,0.0001,0.3181818,0.4090909,0.59090906,0.59090906,0.5]"
6,"[0.0001,0.0001,0.52459013,0.4918033,0.47540984,0.4918033,0.4918033,0.4918033]","[0.0001,0.0001,0.47272727,0.5090909,0.5272727,0.47272727,0.58181816,0.5090909]"
6,"[0.0001,0.0001,0.0001,0.0001,0.0001,0.5,0.5,0.0001]","[0.0001,0.0001,0.44,0.4,0.24,0.44,0.44,0.2]"
6,"[0.0001,0.0001,0.3125,0.4375,0.8125,0.6875,0.0001,0.5625]","[0.0001,0.0001,0.44642857,0.4642857,0.53571427,0.5535714,0.42857143,0.5]"
